locus	product	gene 	main role	subrole	regulation	developmental phenotype	core sporulation gene	reference
MXAN4628	transglycosylase SLT domain protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN4779	Ser/Thr protein phosphatase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN4793	glycosyltransferase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN4838	amidase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN4891	"hydrolase, NUDIX family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN4930	"amine oxidase, flavin-containing"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN4935	putative esterase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN4945	radical SAM domain protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN4989	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5009	type I phosphodiesterase/nucleotide pyrophosphatase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5086	class I glutamine amidotransferase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5097	M20 (carboxypeptidase Ss1) subfamily protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5165	GMC oxidoreductase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5213	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5219	"oxidoreductase, molybdopterin-binding"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5247	"glycosyl hydrolase, family 43"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5251	phospholipase/carboxylesterase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5359	metallo-beta-lactamase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5385	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5418	"hydrolase, NUDIX family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5420	cytosine deaminase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5428	metallo-beta-lactamase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5463	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5465	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5467	metallophosphoesterase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5479	putative acyltransferase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5482	putative helicase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5486	putative hydrolase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5527	glyoxalase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5552	"oxidoreductase, Gfo/Idh/MocA family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5557	putative iron-sulfur binding oxidoreductase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5565	acyltransferase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5612	S-adenosyl-methyltransferase MraW	mraW	Unknown function	Enzymes of unknown specificity	not reg			
MXAN5681	putative SAM-dependent methyltransferase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5708	putative methyltransferase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5721	metallo-beta-lactamase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5745	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5759	"phosphatase, Ppx/GppA family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5761	acyltransferase domain protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5795	exonuclease		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5851	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5878	putative dioxygenase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5885	2-hydroxychromene-2-carboxylate isomerase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5926	fumarylacetoacetate hydrolase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5949	metallo-beta-lactamase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN5952	putative acetyltransferase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6016	"oxidoreductase, NAD-dependent"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6017	acyltransferase domain protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6041	preprotein convertase P-domain/extracellular ribounuclease domain protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6057	glyoxalase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6060	"amine oxidase, flavin-containing"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6070	phosphoglycerate mutase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6075	"ATP-dependent helicase, DEAD/DEAH box family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6076	metallophosphoesterase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6097	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6101	"putative helicase, ATP-dependent"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6105	Ser/Thr protein phosphatase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6112	"HAD-superfamily hydrolase, subfamily IA, variant 3"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6144	putative oxygen-dependent FAD-linked oxidoreductase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6159	"oxidoreductase, short chain dehydrogenase/reductase family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6166	pyridoxal phosphate-dependent enzyme		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6169	"oxidoreductase, zinc-binding dehydrogenase family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6170	"oxidoreductase, aldo/keto reductase family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6182	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6200	"oxidoreductase, FAD-dependent"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6202	pyridine nucleotide-disulphide oxidoreductase domain protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6203	dihydrodipicolinate synthase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6211	"oxidoreductase, short chain dehydrogenase/reductase family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6222	"oxidoreductase, short-chain dehydrogenase/reductase family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6252	glyoxalase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6305	"peptidase, M50 family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6322	"phosphatase, Ppx/GppA family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6357	"oxidoreductase, FAD-binding"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6370	transglycosylase SLT domain protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6383	Ser/Thr protein phosphatase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6394	metallo-beta-lactamase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6424	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6449	B12 binding/radical SAM domain protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6459	radical SAM domain protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6482	"oxidoreductase, aldo/keto reductase family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6495	glyoxalase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6509	acid phosphatase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6629	hypothetical protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6630	putative FAD-dependent dehydrogenase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6631	"oxidoreductase, short-chain dehydrogenase/reductase family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6635	"monooxygenase, FAD-binding"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6688	cyclic nucleotide binding/ATPase domain protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6707	glyoxalase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6717	putative ATP-dependent helicase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6791	"oxidoreductase, zinc-binding dehydrogenase family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6806	putative hydrolase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6869	"oxidoreductase, short chain dehydrogenase/reductase family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6875	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6877	"oxidoreductase, short-chain dehydrogenase/reductase family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6879	"oxidoreductase, short chain dehydrogenase/reductase family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6903	amidinotransferase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN6984	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN7043	"oxidoreductase, aldo/keto reductase family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN7067	hypothetical protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN7192	"hydrolase, NUDIX family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN7200	endonuclease/exonuclease/phosphatase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN7244	"oxidoreductase, short chain dehydrogenase/reductase family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN7249	SNF2 domain/helicase domain protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN7313	metallo-beta-lactamase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN7315	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN7323	"oxidoreductase, zinc-binding dehydrogenase family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN7325	acyltransferase family protein		Unknown function	Enzymes of unknown specificity	not reg			
MXAN7435	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN7459	putative methyltransferase		Unknown function	Enzymes of unknown specificity	not reg			
MXAN7493	methyltransferase GidB	gidB	Unknown function	Enzymes of unknown specificity	not reg			
MXAN7496	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	not reg			
MXAN0149	Ser/Thr protein phosphatase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN0202	"amine oxidase, flavin-containing"		Unknown function	Enzymes of unknown specificity	NR			
MXAN0210	transglycosylase SLT domain protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN0211	"oxidoreductase, short chain dehydrogenase/reductase family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN0366	endonuclease/exonuclease/phosphatase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN0483	"oxidoreductase, 2-nitropropane dioxygenase family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN0678	"oxidoreductase, aldo/keto reductase family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN0877	"HAD-superfamily hydrolase, subfamily IA, variant 3"		Unknown function	Enzymes of unknown specificity	NR			
MXAN0888	Ser/Thr protein phosphatase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN0923	"oxidoreductase, short chain dehydrogenase/reductase family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN1079	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN1185	sulfatase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN1466	"oxidoreductase, 2OG-Fe(II) oxygenase family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN1504	"oxidoreductase, GMC family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN1690	putative esterase		Unknown function	Enzymes of unknown specificity	NR			
MXAN1691	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN2042	phosphotransferase		Unknown function	Enzymes of unknown specificity	NR			
MXAN2140	deoxyhypusine synthase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN2201	alpha/beta hydrolase domain protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN2222	endonuclease/exonuclease/phosphatase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN2237	"hydrolase, isochorismatase family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN2267	"oxidoreductase, 2-nitropropane dioxygenase family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN2285	acetyl-CoA hydrolase/transferase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN2360	arginyl-tRNA-protein transferase		Unknown function	Enzymes of unknown specificity	NR			
MXAN2494	glyoxalase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN2748	class II glutamine amidotransferase domain protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN2811	"oxidoreductase, FAD-dependent"		Unknown function	Enzymes of unknown specificity	NR			
MXAN2839	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN2872	"monooxygenase, flavin-binding family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN2901	putative radical SAM domain protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN3033	"methyltransferase, UbiE/COQ5 family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN3034	putative ADP-ribosylglycohydrolase		Unknown function	Enzymes of unknown specificity	NR			
MXAN3054	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN3139	endonuclease/exonuclease/phosphatase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN3428	sulfatase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN3460	"oxidoreductase, Gfo/Idh/MocA family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN3544	"radical SAM enzyme, Cfr family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN3578	short chain dehydrogenase		Unknown function	Enzymes of unknown specificity	NR			
MXAN3833	"ATP-dependent helicase, DEAD/DEAH box family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN3891	group II decarboxylase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN3972	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN4303	type I phosphodiesterase/nucleotide pyrophosphatase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN4398	protein phosphatase/cyclic nucleotide-binding domain protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN4420	glyoxalase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN4521	sulfatase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN4550	"oxidoreductase, FAD-dependent"		Unknown function	Enzymes of unknown specificity	NR			
MXAN4576	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN4597	putative methyltransferase		Unknown function	Enzymes of unknown specificity	NR			
MXAN4600	radical SAM domain protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN4603	radical SAM domain protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN4991	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN5012	group II decarboxylase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN5081	acyltransferase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN5217	peroxidase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN5325	5`-nucleotidase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN5397	esterase		Unknown function	Enzymes of unknown specificity	NR			
MXAN5510	radical SAM domain protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN5631	class I glutamine amidotransferase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN5667	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN5720	metallo-beta-lactamase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN5838	short chain dehydrogenase		Unknown function	Enzymes of unknown specificity	NR			
MXAN5909	"oxidoreductase, short chain dehydrogenase/reductase family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN5917	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN5935	"phosphorylase, family 2"		Unknown function	Enzymes of unknown specificity	NR			
MXAN6056	putative esterase		Unknown function	Enzymes of unknown specificity	NR			
MXAN6265	hypothetical protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN6325	"oxidoreductase, short chain dehydrogenase/reductase family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN6492	"oxidoreductase, Gfo/Idh/MocA family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN6507	sulfatase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN6628	putative O-methyltransferase		Unknown function	Enzymes of unknown specificity	NR			
MXAN6704	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN6728	"oxidoreductase, zinc-binding dehydrogenase family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN6731	dihydrodipicolinate synthase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN6732	hypothetical protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN6746	"oxidoreductase, short chain dehydrogenase/reductase family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN6814	acyltransferase family protein		Unknown function	Enzymes of unknown specificity	NR			
MXAN6828	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN7021	putative esterase		Unknown function	Enzymes of unknown specificity	NR			
MXAN7449	"transferase, hexapeptide repeat family"		Unknown function	Enzymes of unknown specificity	NR			
MXAN0034	"hydrolase, haloacid dehalogenase-like family"		Unknown function	Enzymes of unknown specificity	up1			
MXAN0391	"oxidoreductase, aldo/keto reductase family"		Unknown function	Enzymes of unknown specificity	up1			
MXAN0414	Ser/Thr protein phosphatase family protein		Unknown function	Enzymes of unknown specificity	up1			
MXAN0646	endonuclease/exonuclease/phosphatase family protein		Unknown function	Enzymes of unknown specificity	up1			
MXAN1062	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	up1			
MXAN1523	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	up1			
MXAN1570	"aminotransferase, class V"		Unknown function	Enzymes of unknown specificity	up1			
MXAN1946	acyltransferase domain protein		Unknown function	Enzymes of unknown specificity	up1			
MXAN2246	"oxidoreductase, FAD-dependent"		Unknown function	Enzymes of unknown specificity	up1			
MXAN3232	"aminotransferase, DegT/DnrJ/EryC1/StrS family"		Unknown function	Enzymes of unknown specificity	up1			
MXAN3344	transglycosylase SLT domain protein		Unknown function	Enzymes of unknown specificity	up1			
MXAN4454	putative cyclase/dehydrase		Unknown function	Enzymes of unknown specificity	up1			
MXAN5896	short chain dehydrogenase		Unknown function	Enzymes of unknown specificity	up1			
MXAN5897	phosphotransferase enzyme family protein		Unknown function	Enzymes of unknown specificity	up1			
MXAN5974	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	up1			
MXAN6513	"hydrolase, NUDIX family"		Unknown function	Enzymes of unknown specificity	up1			
MXAN6543	Ser/Thr protein phosphatase family protein		Unknown function	Enzymes of unknown specificity	up1			
MXAN6722	"HAD-superfamily hydrolase, subfamily IA, variant 1"		Unknown function	Enzymes of unknown specificity	up1			
MXAN6764	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	up1			
MXAN7320	"FAD-binding monooxygenase, PheA/TfdB family"		Unknown function	Enzymes of unknown specificity	up1			
MXAN0061	metallo-beta-lactamase family protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN0147	putative acetyltransferase		Unknown function	Enzymes of unknown specificity	up2			
MXAN0258	ATPase domain protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN0432	metallo-beta-lactamase family protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN0695	radical SAM domain protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN0713	"methyltransferase, CheR family"		Unknown function	Enzymes of unknown specificity	up2			
MXAN0850	"oxidoreductase, molybdopterin-binding"		Unknown function	Enzymes of unknown specificity	up2			
MXAN1115	SREBP protease/CBS domain		Unknown function	Enzymes of unknown specificity	up2			
MXAN1509	Ser/Thr protein phosphatase family protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN1699	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	up2			
MXAN1876	exonuclease		Unknown function	Enzymes of unknown specificity	up2			
MXAN2137	"oxidoreductase, aldo/keto reductase family"		Unknown function	Enzymes of unknown specificity	up2			
MXAN2152	"oxidoreductase, zinc-binding dehydrogenase family"		Unknown function	Enzymes of unknown specificity	up2			
MXAN2314	"oxidoreductase, zinc-binding dehydrogenase family"		Unknown function	Enzymes of unknown specificity	up2			
MXAN2367	"acetyltransferase, GNAT family"		Unknown function	Enzymes of unknown specificity	up2			
MXAN2579	metallophosphoesterase/PKD domain protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN2715	endonuclease/exonuclease/phosphatase family protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN2731	sulfatase domain protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN3236	phosphotransferase enzyme family protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN3363	transglycosylase SLT domain protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN3454	2-oxo acid dehydrogenase acyltransferase catalytic domain protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN4748	3-hydroxyisobutyrate dehydrogenase family protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN4780	phosphoglycerate mutase family protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN4882	metallophosphoesterase		Unknown function	Enzymes of unknown specificity	up2			
MXAN5155	"aminotransferase, class V"		Unknown function	Enzymes of unknown specificity	up2			
MXAN5185	putative O-methyltransferase		Unknown function	Enzymes of unknown specificity	up2			
MXAN5860	metallo-beta-lactamase family protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN5983	O-methyltransferase family protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN6323	"oxidoreductase, zinc-binding dehydrogenase family"		Unknown function	Enzymes of unknown specificity	up2			
MXAN6651	endonuclease/exonuclease/phosphatase family protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN6901	metallo-beta-lactamase family protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN6972	Ser/Thr protein phosphatase family protein		Unknown function	Enzymes of unknown specificity	up2			
MXAN7072	"transcriptional regulator, GntR family/aminotransferase, classes I and II family protein"		Unknown function	Enzymes of unknown specificity	up2			
MXAN7194	"oxidoreductase, short chain dehydrogenase/reductase family"		Unknown function	Enzymes of unknown specificity	up2			
MXAN7232	"hydrolase, alpha/beta fold family"		Unknown function	Enzymes of unknown specificity	up2			
MXAN0141	SWIM zinc finger domain protein		Unknown function	General	down			
MXAN0451	PAP2 family protein		Unknown function	General	down			
MXAN0873	adenylate/guanylate cyclase domain protein		Unknown function	General	down			
MXAN1003	Tat (twin-arginine translocation) pathway signal sequence domain protein		Unknown function	General	down			
MXAN1110	biotin/lipoic acid binding domain protein		Unknown function	General	down			
MXAN1289	phytanoyl-CoA dioxygenase family protein		Unknown function	General	down			
MXAN1334	thrombospondin type 3 repeat family protein		Unknown function	General	down			
MXAN1361	FHA domain protein		Unknown function	General	down			
MXAN1482	polysaccharide deacetylase domain protein		Unknown function	General	down			
MXAN1894	DNA-binding protein		Unknown function	General	down			
MXAN2024	glutaredoxin-like protein		Unknown function	General	down			
MXAN2273	putative ribosome-associated GTPase		Unknown function	General	down			
MXAN2370	GAF domain protein		Unknown function	General	down			
MXAN2435	TPR domain protein		Unknown function	General	down			
MXAN2541	tetratricopeptide repeat protein		Unknown function	General	down			
MXAN2702	cyclic nucleotide-binding domain protein		Unknown function	General	down			
MXAN2891	WGR domain protein		Unknown function	General	down			
MXAN2892	WGR domain protein		Unknown function	General	down			
MXAN2985	Fic family protein		Unknown function	General	down			
MXAN3001	LysM domain protein		Unknown function	General	down			
MXAN3108	FHA domain/tetratricopeptide repeat protein		Unknown function	General	down			
MXAN3201	FHA domain protein		Unknown function	General	down			
MXAN3329	tetratricopeptide repeat protein		Unknown function	General	down			
MXAN3486	thioesterase domain protein		Unknown function	General	down			
MXAN4208	tetratricopeptide repeat protein		Unknown function	General	down			
MXAN4236	CBS domain protein		Unknown function	General	down			
MXAN4295	patatin-like phospholipase family protein		Unknown function	General	down			
MXAN4394	thioesterase domain protein		Unknown function	General	down			
MXAN4411	JmjC domain protein		Unknown function	General	down			
MXAN4800	Rhs element Vgr family protein		Unknown function	General	down			
MXAN4914	F5/8 type C domain protein		Unknown function	General	down			
MXAN5368	YdjC-like protein		Unknown function	General	down			
MXAN5487	Tat (twin-arginine translocation) pathway signal sequence domain protein		Unknown function	General	down			
MXAN5703	PspA/IM30 family protein		Unknown function	General	down			
MXAN5705	N-ethylammeline chlorohydrolase		Unknown function	General	down			
MXAN5718	"C4-type zinc finger domain protein, DksA/TraR family"		Unknown function	General	down			
MXAN5796	HAMP domain protein		Unknown function	General	down			
MXAN5797	PBS lyase HEAT repeat-like domain protein		Unknown function	General	down			
MXAN5837	bacterial Ig-like domain (group 1)/fibronectin type III domain protein		Unknown function	General	down			
MXAN5877	YceI-like family protein		Unknown function	General	down			
MXAN6134	Ig-like domain/kelch domain protein		Unknown function	General	down			
MXAN6247	"terpene synthase, metal binding domain protein"		Unknown function	General	down			
MXAN6248	cyclic nucleotide-binding domain protein		Unknown function	General	down			
MXAN6249	cyclic nucleotide-binding domain protein		Unknown function	General	down			
MXAN6316	GTP cyclohydrolase family protein		Unknown function	General	down			
MXAN6417	exsB protein	exsB	Unknown function	General	down			
MXAN6539	extracellular protease domain protein		Unknown function	General	down			
MXAN6624	AhpC/TSA family protein		Unknown function	General	down			
MXAN6998	DNA-binding protein		Unknown function	General	down			
MXAN1373	histone deacetylase family protein		Unknown function	General	NI			
MXAN1391	S1 RNA binding domain protein		Unknown function	General	NI			
MXAN1397	PBS lyase HEAT-like repeat protein		Unknown function	General	NI			
MXAN1398	HAMP domain protein		Unknown function	General	NI			
MXAN1458	THUMP domain/methyltransferase domain protein		Unknown function	General	NI			
MXAN1766	RibD domain protein		Unknown function	General	NI			
MXAN6138	RibD domain protein		Unknown function	General	NI			
MXAN0003	CBS domain protein		Unknown function	General	not reg			
MXAN0075	WD40-like repeat/amidohydrolase domain protein		Unknown function	General	not reg			
MXAN0076	Appr-1-p processing enzyme family domain protein		Unknown function	General	not reg			
MXAN0097	HipA-like protein		Unknown function	General	not reg			
MXAN0106	FG-GAP repeat domain protein		Unknown function	General	not reg			
MXAN0140	RNA-directed DNA polymerase domain protein		Unknown function	General	not reg			
MXAN0142	WD domain G-beta repeat/PBS lyase HEAT-like repeat protein		Unknown function	General	not reg			
MXAN0143	cupin family protein		Unknown function	General	not reg			
MXAN0178	rhodanese-like domain protein		Unknown function	General	not reg			
MXAN0182	asmA family protein		Unknown function	General	not reg			
MXAN0198	GreA/GreB domain protein		Unknown function	General	not reg			
MXAN0199	rhodanese domain protein		Unknown function	General	not reg			
MXAN0228	DNA-binding protein		Unknown function	General	not reg			
MXAN0232	B12 binding domain protein		Unknown function	General	not reg			
MXAN0251	Mce family protein		Unknown function	General	not reg			
MXAN0255	"peptidase homolog, M20 family"		Unknown function	General	not reg			
MXAN0285	ankyrin repeat protein		Unknown function	General	not reg			
MXAN0288	von Willebrand factor type A domain protein		Unknown function	General	not reg			
MXAN0309	"ATPase, AAA family"		Unknown function	General	not reg			
MXAN0324	DedA family protein		Unknown function	General	not reg			
